"category","subcategory","name","url","feed_url","feed_error_attempt","alexa","image_capture_attempt","attempt_reset_count","image_hour","image_updated_at","status"
"Info","Entertainment","HBO","http://www.hbo.com/","","","5868","","","N","Jun 4, 2016","active"
"Info","Entertainment","Netflix","https://www.netflix.com/","","","53","","","N","","active"
"Info","Entertainment","Hulu","http://www.hulu.com","","","380","","","N","Apr 12, 2016","active"
"Ideas","Entertainment","Rolling Stone","http://www.rollingstone.com/","http://www.rollingstone.com/news.rss","","1034","","","D","17 hours ago","active"
"News","Magazines","The Atlantic","http://www.theatlantic.com/","http://www.theatlantic.com/feed/all/ ","452","1132","","","D","10 hours ago","active"
"News","Magazines","Der Spiegel","http://www.spiegel.de/international/","http://www.spiegel.de/international/index.rss","","285","","1","H","22 minutes ago","active"
"News","Magazines","AARP","http://www.aarp.org/magazine/","http://search.aarp.org/rss","112","1608","","1","D","Sep 27, 2017","problem"
"News","Magazines","Observer","http://observer.com/","","","9120","","","D","Dec 7, 2015","inactive"
"News","Magazines","INC","http://www.inc.com/","http://www.inc.com/rss/blog/staff-blog.xml","","1246","","","D","10 hours ago","active"
"News","Finance&Business","Market Watch","http://www.marketwatch.com/","","","645","","1","H","21 minutes ago","active"
"News","Finance&Business","Free Enterprise","http://www.freeenterprise.com/","","","695265","","","D","","inactive"
"News","Finance&Business","PE Hub","http://www.pehub.com/","","","64790","","","D","","inactive"
"Ideas","Specialized","Runners World","http://www.runnersworld.com/","http://feeds.rodalewire.com/rss/runnersworld","","4072","","","D","8 hours ago","active"
"News","Sports","The Classical","http://theclassical.org/","http://theclassical.org/rss/articles/all","","264407","","","D","Aug 31, 2017","problem"
"News","Sports","Victory Journal","http://victoryjournal.com/","","","941397","","","D","Dec 8, 2015","inactive"
"News","World","The Times (UK)","http://www.thetimes.co.uk/","","","6522","","","H","Mar 13, 2016","inactive"
"Ideas","Culture","India Times","http://www.indiatimes.com/","http://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms","","109","","","D","12 hours ago","active"
"News","World","Global Times (China)","http://www.globaltimes.cn/","","","3699","","1","H","19 minutes ago","active"
"News","Magazines","Spectator (UK)","https://blogs.spectator.co.uk/tag/uk-politics/","http://www.spectator.co.uk/feed/","","16192","","2","D","8 hours ago","active"
"News","World","South China Morning Post","http://www.scmp.com/","http://www.scmp.com/rss/91/feed","","5483","","3","H","Oct 12, 2017","problem"
"News","World","Straits Times (Singapore)","http://www.straitstimes.com/","http://www.straitstimes.com/news/singapore/rss.xml","","3619","","","H","Sep 24, 2017","problem"
"News","World","The Australian","http://www.theaustralian.com.au/","","","4659","","","D","","inactive"
"News","World","Maldives Independent","http://maldivesindependent.com/","http://maldivesindependent.com/feed","","937281","","2","D","Oct 2, 2017","problem"
"News","World","The Diplomat (Asia-Pacific)","http://thediplomat.com/","http://thediplomat.com/feed/","","15010","","","H","18 minutes ago","active"
"News","World","New Statesman (UK)","http://www.newstatesman.com/","http://www.newstatesman.com/feeds/site_feed.rss","","16871","","4","H","Sep 24, 2017","problem"
"News","World","Insight Crime (South America)","http://www.insightcrime.org/","http://www.insightcrime.org/?format=feed&type=rss","140","153145","","","D","19 hours ago","active"
"News","World","Israel National News","http://www.israelnationalnews.com/","","","14491","","1","H","43 seconds ago","active"
"News","World","Turkish Weekly","http://www.turkishweekly.net/","http://www.turkishweekly.net/rss/news/","79","514779","6","","D","Oct 13, 2016","problem"
"News","America","Salt Lake Tribune","http://www.sltrib.com/","http://www.sltrib.com/rss/feed/?sec=/News/&level=0","","11155","","2","D","15 hours ago","active"
"News","America","Indian Country Today","https://indiancountrymedianetwork.com/today/","http://indiancountrytodaymedianetwork.com/rss","","37041","","","D","Oct 7, 2017","problem"
"News","Magazines","New York Magazine","http://nymag.com/","http://nymag.com/rss/Intelligencer.xml","492","1947","","","D","11 hours ago","active"
"News","America","Down East (Maine)","http://www.downeast.com/","http://downeast.com/feed/","","495246","","","D","Sep 30, 2017","problem"
